,0
wife,1196
kathleen,31
harrison,27
fancies,4
buying,89
news,151
tobacco,3
shop,160
eye,489
store,230
thrives,7
whole,1310
chain,64
stores,36
grandchild,2
christened,3
latter,204
amazed,98
prosperous,3
ex,243
payoff,17
bank,116
manager,111
felix,117
aylmer,3
meets,452
diversifying,1
investments,1
leave,559
hear,366
unintentional,14
ironic,94
coda,9
meeting,156
according,144
man,3465
max,133
kelada,5
nigel,10
patrick,149
cruise,62
splashy,6
friendly,127
slightly,292
overbearing,22
middle,443
east,88
business,377
trip,282
regarding,80
jewelry,27
steamship,3
state,273
room,489
mate,64
grey,98
quiet,203
proper,100
wilfred,6
hyde,79
white,766
silently,14
disapproving,9
likes,234
enliven,2
heavily,89
ship,147
entertainment,477
point,1381
resembles,49
plot,2434
non,369
china,128
seas,19
makes,2390
bet,112
tell,759
piece,653
fake,105
insisting,11
spotted,22
describe,137
rises,33
occasion,55
longest,36
segment,166
roland,16
culver,5
ashenden,2
fictional,107
alter,24
ego,55
spy,147
hitchcock,131
agent,188
months,155
finds,591
remarkable,243
crew,273
jean,243
simmons,70
frail,15
beautiful,1582
young,2343
woman,1439
finlay,20
currie,23
irascible,8
scotsman,4
john,1351
laurie,43
second,1009
raymond,67
huntley,5
patient,106
shows,1448
internal,24
anger,130
rennie,4
threatening,58
illness,43
watches,66
among,488
play,1245
conclusions,27
dealing,174
deeply,236
dandy,59
follow,448
worth,1221
watching,1966
mature,134
admit,302
shed,50
tear,97
response,67
need,852
perhaps,884
viewing,468
advent,12
moved,210
us,2167
next,859
level,474
aileen,8
gonsalves,1
girlfriend,284
secretary,94
main,1044
roshan,10
seth,15
restaurant,73
information,206
website,59
stated,64
personal,413
interest,472
think,3655
filmed,395
jonathan,66
demme,19
directorial,71
debut,189
roger,119
corman,29
legendary,133
exploitation,93
outfit,38
pictures,281
rates,42
highly,871
finest,230
chicks,22
chains,15
grindhouse,7
classics,136
grace,159
celluloid,33
beauteous,2
russ,22
meyer,11
starlet,16
eric,168
vixen,13
beyond,376
valley,39
dolls,46
gavin,7
gives,1031
robust,18
winning,252
performance,1930
brassy,7
resilient,3
fish,88
persevere,2
grimy,13
hellish,8
penitentiary,5
always,2089
fabulous,135
barbara,190
steele,61
offers,225
deliciously,46
portrayal,374
mean,566
crippled,40
sexually,61
frustrated,66
warden,26
erotic,103
slow,475
steamy,22
striptease,7
front,284
lady,455
inmates,30
longtime,20
b,542
actress,631
roberta,10
arousers,1
unholy,5
rollers,3
collins,24
delivers,240
hilariously,45
raunchy,31
endearing,94
turn,648
cheerfully,3
forward,280
foul,51
mouthed,21
kleptomaniac,3
felon,6
gut,43
busting,12
dirty,211
pinnochio,2
lynda,5
gold,164
k,135
crystin,2
sinclaire,2
tobe,7
hooper,7
eaten,30
alive,230
curtis,109
harrington,8
ruby,77
lively,63
uninhibited,9
wildcat,5
crazy,315
alice,99
cuddly,9
cheryl,19
rainbeaux,5
smith,346
touching,365
reprise,12
fragile,43
frightened,42
innocent,271
lemora,1
child,721
tale,541
supernatural,102
picture,834
deliver,150
expected,312
ample,21
amount,238
coarse,22
language,326
nudity,175
rape,142
violence,532
means,388
typically,66
crass,10
sexist,15
lurid,27
mindless,45
filth,12
effectively,126
explores,61
many,3766
ways,496
men,1087
cruelly,9
exploit,26
women,860
strongly,138
asserts,8
pro,66
feminist,42
notion,51
overcome,99
obstacles,35
band,284
together,1280
group,466
bravely,10
misogynistic,9
oppressors,6
mighty,45
fighting,301
force,272
zesty,4
confidant,8
direction,638
comes,1260
glorious,78
abundance,21
astutely,8
observed,28
incidental,22
details,245
moments,934
engagingly,5
quirky,112
human,1001
behavior,122
furthermore,43
tak,3
fujimoto,2
vibrant,52
cinematography,579
cale,4
marvelously,26
dolorous,1
oddball,19
blues,68
score,620
excellent,1683
wright,31
sheriff,116
mack,26
uproariously,5
awful,168
cheap,201
rubber,17
monster,207
suit,132
creature,118
feature,437
howler,1
track,199
moonbeast,1
sidesplitting,3
bit,1757
jerky,13
cop,253
car,491
prison,276
escapees,8
stops,90
gas,93
station,166
bathroom,56
rousing,32
immensely,70
enjoyable,573
caged,14
heat,75
qualifies,23
absolutely,643
essential,115
drive,207
fans,797
rented,100
knew,462
going,1783
mindbender,1
disbelief,59
reality,605
get,4272
beating,64
worked,295
kurt,104
russel,11
though,2475
showing,427
emotionless,12
soldier,188
recommend,999
want,1562
action,1789
hard,1294
sometimes,746
effective,340
moment,612
came,893
across,489
stone,202
boy,875
told,603
spite,97
unlikely,112
opportunity,200
looking,1053
online,48
catalogue,9
local,450
library,81
recently,362
purchased,57
release,479
extremely,507
glad,271
stunning,318
depth,267
old,2311
vhs,206
copy,317
replicate,6
speaking,184
single,372
far,1359
aspect,242
photographer,55
pursues,16
exact,77
visual,321
style,907
portrayed,346
firm,45
believer,9
fact,1684
cinematographer,58
almost,1566
handedly,11
carry,144
help,991
talented,294
cast,2134
understands,49
needs,442
juan,33
ruiz,2
anch,1
camera,717
virtually,82
every,1954
beauty,486
expect,584
captures,192
detail,215
little,3342
magic,316
takes,1242
breath,107
away,1306
christopher,224
cain,36
interesting,1481
career,552
gather,42
representative,28
catch,269
near,406
beginnings,19
big,1815
budgets,32
loss,150
focus,284
subtle,333
found,1306
steps,79
back,2548
lets,157
happen,471
much,4688
early,957
sayles,2
space,350
breathe,22
talk,375
side,720
displays,65
raw,126
outright,29
painful,109
nature,463
acting,2438
ties,59
exist,116
actual,355
held,208
gina,41
berriault,1
script,954
allows,181
wilford,7
brimley,8
robert,569
duvall,46
glenn,72
close,671
frederic,8
forrest,24
spend,201
simply,836
existing,30
whether,447
minor,244
deep,411
significance,50
weight,68
pure,318
look,1900
soundtrack,452
horner,9
seems,1596
forgotten,188
maybe,938
period,440
hangover,7
reminds,187
childhood,248
modern,569
styles,79
lived,222
remember,975
images,307
understated,75
knowing,286
overall,828
result,277
skin,97
person,749
grew,152
era,404
north,122
america,423
sees,355
truly,1017
please,361
black,997
stallion,14
cry,276
wolf,38
tender,82
mercies,3
testament,57
places,237
heart,959
matewan,1
high,1095
tide,33
driving,112
miss,535
daisy,20
garden,56
roan,1
inish,1
wendy,40
lucy,113
yes,731
stars,891
plain,157
fill,76
universe,115
sent,252
trent,13
harris,150
caught,339
tape,134
true,1487
misfit,10
glory,84
bad,1907
ended,248
tragedy,257
alternate,41
fellow,235
trilogy,143
retell,2
sean,116
penn,34
crispin,13
glover,104
respectively,50
expanded,21
strangeness,17
contextualized,1
retelling,20
giving,408
broader,15
glimpse,99
growing,192
weird,295
vanilla,45
recommended,378
anyone,1214
everyone,1221
hello,36
okay,225
kidding,24
awesome,364
block,51
buster,48
smash,22
hit,620
meant,274
sisters,133
rockin,11
ramones,77
done,1586
heard,550
mixed,176
reviews,302
production,787
waiting,261
cheers,28
supporting,610
gave,589
eva,81
mendez,12
needed,291
take,1709
else,801
states,194
portion,49
riveting,78
katie,25
cassidy,45
amazing,1059
work,2346
quite,2143
ahead,215
completely,721
enjoyed,879
questioned,15
priorities,10
lies,141
romp,52
cheech,39
chong,36
includes,190
drugs,156
singing,323
cars,116
pee,14
wee,26
aliens,54
gasoline,2
laundry,10
stand,436
comedy,1742
surprisingly,312
coke,22
coherent,26
plausible,37
smoke,59
incredibly,260
without,1671
becoming,206
nice,1132
dreams,290
classic,1192
include,208
song,601
mexican,87
americans,201
notable,99
welfare,10
office,320
jones,185
noise,38
machine,145
academy,193
series,2153
laughing,241
watchable,106
sober,24
rehab,5
ok,302
heres,7
huge,422
nancy,186
fan,1009
read,882
original,1394
books,277
went,666
beware,34
villains,146
lower,81
clues,62
current,146
fashioned,90
complaining,39
view,573
emma,153
parts,645
exciting,306
chases,68
aways,4
solved,17
mystery,461
suggest,183
since,1519
nothing,1301
drew,160
may,1997
oscar,628
worthy,171
kind,1244
introduce,40
sweetly,19
addictions,13
babe,52
casino,37
constantine,3
carton,4
hate,344
spescially,1
ruining,21
happy,599
sounds,272
im,36
bitter,110
goes,1186
heaven,191
critic,62
got,1689
ta,65
seeing,1111
jared,31
outstanding,342
lennon,36
matter,598
resemble,35
mannerisms,44
expressions,100
posture,6
accent,181
attitude,149
cafe,21
verbally,14
sparring,14
stuttering,8
paul,598
mccartney,19
wings,43
silly,288
songs,530
status,101
credible,72
alexandra,22
bastedo,3
gorgeous,261
order,489
super,253
powers,176
superior,198
skills,134
strength,171
hearing,119
sight,161
rolls,22
believable,459
episode,1024
special,1011
effects,856
explosions,63
everywhere,94
suppose,133
performs,56
fancy,55
stuff,501
try,780
minutes,827
light,594
anybody,127
loaded,39
satellite,18
fired,59
pointed,51
galaxy,45
andromeda,3
distant,82
possible,446
civilizations,4
humanity,175
endearingly,11
stupid,273
revealingly,1
honest,268
rip,97
king,559
kong,156
manages,337
upstage,4
sheer,119
belly,32
idiotic,19
goofiness,2
successfully,86
predicted,10
peter,454
jackson,215
miserable,39
computer,175
cartoon,249
bearing,29
romance,431
yeti,37
female,403
antonellina,1
interlenghi,1
umberto,7
lenzi,2
city,792
dead,780
aside,219
innuendo,20
bones,27
nipple,7
tweak,1
goodbye,34
forget,360
sex,639
sort,632
jock,13
strap,2
cover,181
monstrous,14
package,42
amusing,247
anatomical,2
correctness,21
trade,87
wacky,39
scientist,110
inquisitive,3
tony,397
kendall,8
rare,337
duplicitous,7
bastard,17
villain,270
helpful,33
intelligent,325
collie,5
adventure,356
movies,3587
europe,138
emerges,45
saving,102
turns,674
guy,1071
loaders,1
decorated,16
ape,33
hands,314
size,52
literally,218
changes,202
scale,105
inappropriately,4
deaths,76
carnage,32
godzilla,13
vs,158
smog,3
tame,45
comparison,114
crowd,133
reaction,134
shots,389
plenty,371
either,683
spanish,147
italian,297
canadian,122
extras,118
depending,38
shooting,222
dressed,147
enthusiastically,14
staged,58
inept,30
monkey,32
enthusiasm,52
frank,315
kramer,11
gianfranco,6
parolini,3
sartana,1
god,443
gun,232
year,1298
important,560
spaghetti,18
western,352
genre,743
delighted,39
adventuresome,2
took,569
chances,73
comfortable,80
taking,491
aimed,47
families,156
reckless,22
abandon,26
renders,21
technical,163
errors,31
inconsistencies,15
totally,540
meaningless,23
seriously,318
sucked,59
forgot,68
material,324
dictate,3
outcome,71
army,209
power,516
macintosh,2
pod,5
animators,23
faults,66
clunkiness,3
spirit,336
partly,73
suits,71
tearing,8
apart,299
miniature,13
sets,467
stages,49
seamlessly,19
animated,352
vapid,4
hours,410
rank,62
versus,64
curse,57
golem,6
enjoyably,17
improbable,30
rampaging,5
looks,886
wrecked,5
trampled,6
tossed,12
smashed,15
armed,40
fertile,8
energetic,47
chance,621
pulled,134
bodied,5
might,1261
rough,121
tykes,1
share,232
grandkids,1
someday,44
weekend,75
ages,182
telling,324
committed,107
cares,97
around,1674
reviewers,118
page,258
fashion,169
study,146
culture,295
decades,107
cheese,39
ball,156
compared,271
left,956
right,1688
cheezy,9
however,1796
past,746
carefully,89
preserved,22
refuse,29
fear,291
spoiling,28
sends,83
attention,510
mine,164
feuding,7
york,513
steve,268
brodie,17
raft,14
chuck,68
connors,13
beery,29
strive,14
bowery,10
late,730
nineteenth,9
century,333
fictionalized,13
account,93
antics,65
cause,243
argument,54
jump,130
bridge,96
became,410
happening,171
american,1248
walsh,75
clearly,407
affection,63
recreated,19
wild,260
rumbustious,1
ragtime,1
number,572
saloon,33
singer,145
trixie,1
odbray,1
pert,3
kelton,1
slickest,2
actor,1204
tough,278
hearted,155
times,1833
fay,92
wray,15
pursuing,30
energy,155
fast,412
pace,332
unlike,390
talkies,16
find,2272
seen,3415
star,1152
return,369
jedi,51
knows,494
video,688
party,297
spirits,62
partying,14
ben,331
obi,14
wan,69
dies,164
imperial,22
disappear,42
yoda,27
age,699
luke,172
killed,444
darth,37
vader,56
anakin,13
skywalker,25
stands,252
starring,288
smiling,61
appears,386
sith,10
usual,539
selve,1
started,418
reckon,14
producers,155
padme,1
mace,4
windu,1
jedis,2
younglings,1
arms,85
ground,165
lol,60
taken,497
twisted,120
views,105
ladies,169
lowly,6
bus,102
skank,2
class,483
butante,4
tim,160
meadows,35
leon,51
phelps,11
raised,94
playboy,29
mansion,72
hugh,70
hefner,2
esquire,28
father,1398
figure,369
constantly,220
porn,97
models,42
actresses,203
kicks,66
street,393
fend,12
chauvinistic,7
outlook,24
youth,173
taught,50
unfathomable,6
mystical,25
charm,259
dumb,118
luck,147
hijinx,1
begin,298
semi,68
renting,43
hood,66
credits,270
began,179
invokes,5
holiness,1
romero,40
instantly,76
standard,211
afford,49
aspire,12
companion,65
professed,2
doubt,367
urban,136
surpass,11
seminal,15
leprechaun,1
skeptical,29
settled,34
rewarded,33
sincere,53
zombie,230
oh,365
certainly,828
budget,657
low,610
directors,340
amateurs,5
populate,11
loves,255
cinema,890
yeah,133
ricky,41
works,848
lab,43
surrogate,18
parent,64
younger,302
night,1082
oakland,15
planned,63
escape,316
scientific,57
mind,1005
presents,127
option,34
cpr,1
injections,3
experimental,44
regenerative,1
formula,127
sadly,211
bro,6
wakes,37
ambulance,6
bloodthirsty,5
chaos,64
mayhem,33
economical,17
enemies,63
vengeance,69
poor,416
judge,159
complexities,25
gory,90
involving,230
four,482
opined,3
ah,42
ha,54
blood,454
used,910
technique,84
jordan,34
replied,11
gang,189
dress,106
banned,42
orleans,67
bars,41
set,1279
deal,416
hanging,85
zombies,110
sympathetic,144
surpasses,27
explanation,74
arise,18
fda,1
approved,17
testing,24
rules,159
experimentation,14
contribution,47
canon,21
infection,4
bite,50
unusually,40
head,643
pulses,1
absence,60
proves,214
jaguar,3
growl,3
noises,29
gratuitous,78
mercenary,12
named,439
groan,5
pierce,64
brosnan,113
newest,16
longer,239
bond,264
assassin,34
getting,714
tired,141
greg,52
kinnair,1
straight,361
narrow,33
opens,145
separate,77
lives,895
drinks,30
bar,193
sudden,135
drawn,245
events,552
notch,157
humor,733
hilarious,606
pilot,170
battlestar,24
galactica,17
helps,271
necessary,201
bsg,49
future,594
astonishing,65
released,586
theatrically,14
leads,418
chosen,126
experienced,102
stoltz,22
united,131
w,160
daughter,572
cost,101
paula,54
malcomson,4
deadwood,6
fame,140
terrific,355
motives,54
intriguing,171
zoe,16
relative,66
unknown,158
alessandra,4
torresani,1
esai,9
morales,12
desire,191
wrong,668
considering,250
wants,671
moral,204
objections,15
idea,731
announced,26
thrilled,49
stage,419
adama,10
affected,76
influenced,73
different,1506
sorts,104
robots,42
starting,153
permeate,6
keep,831
humanoid,7
typed,5
fantastic,654
storytelling,103
garbage,72
screen,1305
gotten,138
least,1102
become,916
strong,768
restraints,5
mike,122
sullivan,160
tom,452
hanks,77
tyler,46
hoechlin,18
drives,78
emotional,445
wheel,24
basis,83
veteran,113
newman,60
performances,1238
bold,62
graphic,130
novel,513
allan,22
richard,496
piers,3
rayner,2
son,810
basically,334
employs,21
candidates,21
solely,35
unfit,5
rooney,60
generous,30
organized,37
therefore,162
debt,35
paid,93
trying,987
safe,120
boss,252
test,117
loyalty,61
embrace,40
fate,159
adaptation,244
david,652
self,570
dialogue,600
seldomly,1
yet,1558
virtuous,8
unfolds,81
setting,360
brilliant,927
art,736
l,219
johnson,107
haigh,2
covered,108
rainy,25
snow,70
exterior,40
irish,118
settling,18
element,230
conrad,47
hall,143
photography,243
entering,29
chicago,57
impressive,326
revealing,72
windshield,7
subsequently,28
dollys,2
awakening,29
peering,2
window,122
continues,163
trucks,9
sideways,9
reveals,131
scenic,18
principle,41
creates,181
brazenly,1
talking,389
sam,230
mendes,25
various,353
awards,161
british,528
decided,286
wanted,555
move,354
saying,325
marked,28
list,260
twenty,147
five,403
illuminates,5
brazen,5
hits,143
misses,47
expresses,28
theme,479
brilliantly,207
phenominal,2
scorcesee,1
gangs,25
fully,265
confident,49
competition,73
signs,51
insomnia,14
minority,31
report,49
thats,122
statement,88
australians,7
tennis,6
william,391
mcinnes,1
appeared,179
crappy,43
toned,29
rotten,25
hugo,35
speers,2
monty,35
seachange,1
longs,18
rippling,1
muscles,7
sigh,17
total,195
shock,171
stole,60
martin,190
sacks,4
leading,348
put,1118
entertaining,853
programme,29
twist,270
walk,186
shirt,48
evaluation,12
compare,176
today,936
brainless,11
effet,1
ideas,253
soylent,52
green,213
ask,267
anymore,157
surprise,406
cookies,7
create,316
body,404
planet,266
indifferent,22
rich,338
paradise,51
idiocy,9
wash,24
brain,127
pity,115
intelligence,136
progress,79
technologies,4
writing,524
stop,466
politician,40
question,327
stewart,391
revenge,259
winchester,62
rifle,60
adding,87
cold,339
obsession,94
laid,76
cowboy,142
follows,305
owners,34
hunting,84
meet,390
selection,38
gamblers,8
fighters,20
indian,228
traders,9
robers,1
rifles,10
path,113
battles,85
heists,1
etc,548
dan,177
durya,1
standing,114
waco,13
johnny,190
dean,81
wire,36
gunfighter,9
itchy,26
trigger,26
finger,42
trivia,37
note,400
appearance,226
rock,505
hudson,93
chief,141
showdown,57
tense,105
battle,369
fought,46
range,134
rocky,47
outcrop,2
throw,130
fist,26
fights,133
shootouts,21
horseback,15
rieser,1
wrote,243
huh,34
falk,79
appreciate,335
colombo,2
fly,107
wall,194
practically,93
giddy,11
enjoyment,77
drinking,80
phone,124
unlisted,1
eh,14
loving,226
nihilistic,7
brutal,189
tragic,261
ones,516
melodrama,123
delivering,44
shocking,173
revelations,21
bone,65
crunching,4
blow,96
guts,63
chilling,136
edison,26
chen,19
hk,49
cambodian,15
killer,541
losing,136
featuring,159
dialog,271
favor,88
haunting,176
imagery,111
gritty,154
bloodshed,18
heroism,20
builder,4
sue,38
price,176
nemesis,34
proved,137
striking,91
iron,42
resist,39
nebula,2
value,208
priceless,55
copied,36
sci,339
fi,339
terminator,26
predator,21
puyn,1
casted,22
talent,420
boring,333
sequel,296
enough,1455
credit,252
saturday,108
fever,61
grease,11
travolta,35
girl,1390
pig,46
headed,83
feelings,286
engage,36
mechanical,53
bull,60
riding,91
thinks,180
manhood,18
timely,17
country,553
train,193
wreck,36
motion,222
nonetheless,102
edie,109
seem,1028
members,305
repeatedly,52
infinitely,20
quotable,23
goddamned,1
shut,62
costume,99
promises,48
forever,220
dancer,104
hong,142
vcd,6
distributors,14
adultery,19
common,253
days,696
grabbed,29
kidnapped,63
nick,147
chase,193
luis,40
charlotte,59
italy,110
commits,16
indie,98
vivian,35
naefe,1
dealt,87
teething,2
problems,463
marriage,275
dare,70
treat,229
food,172
higher,178
mobility,4
physical,187
mental,147
technology,136
areas,70
conjugal,1
commitment,38
asks,184
choose,110
succumb,5
circumstances,121
trusted,22
fell,143
kidnap,14
journey,341
forced,282
experience,642
growth,38
viewers,453
feel,1597
greatest,549
retribution,9
unfaithful,17
act,522
spouses,8
develop,135
exchange,44
shaky,30
relationship,656
scenery,207
neglected,42
cries,25
reception,18
hotel,224
venezia,2
bella,4
mesmerizing,53
breathtaking,146
horrifying,56
hauntingly,10
apocalypse,21
fiction,278
glimpses,30
poisoned,14
patches,5
earth,437
inevitable,81
doom,48
plagued,20
greed,58
essence,101
evolution,33
turned,407
cancer,26
consume,6
host,83
die,328
manufactured,16
landscapes,53
unforgettable,121
regard,86
toaster,3
miniseries,44
interpretation,108
beloved,102
jane,430
eyre,80
dalton,77
clarke,48
rochester,89
none,341
bookworm,3
bronte,32
enchanted,40
missing,279
glance,32
sidewalk,47
noirish,13
qualities,82
otto,37
preminger,58
dana,54
andrews,130
gene,192
tierney,64
comparisons,51
posh,20
sophisticated,87
murder,646
strata,5
barely,146
nickels,1
rub,12
accustomed,21
underbelly,16
society,456
parties,50
desperate,154
solve,77
fists,12
weapon,64
hoods,14
dime,14
dozen,79
cops,129
routinely,11
beat,176
confessions,15
crooks,24
investigation,81
breathing,31
entire,592
det,13
mark,359
dixon,85
roughing,4
confession,20
accidentally,88
complicated,118
falls,370
morgan,180
taylor,187
whose,578
becomes,729
suspect,154
case,726
clear,394
implicating,3
technically,89
besides,199
features,361
bleakest,1
brighter,14
rest,781
tully,19
wrongly,20
accused,72
standout,49
lighting,147
amazingly,91
complaint,93
admittedly,55
quibble,20
surroundings,31
difficult,389
unsavory,11
fault,101
polished,58
delicate,56
gentle,94
trusting,8
add,367
realism,179
castle,241
aka,92
terror,105
crafted,129
entry,77
anthony,142
dawson,87
exquisite,49
flawless,116
dubbing,51
casting,306
fairly,290
logical,62
scripting,14
deliberate,41
pacing,132
hokey,30
abrupt,40
elizabeth,107
georges,61
rivi,3
mar,16
otherwise,263
visiting,40
england,202
edgar,61
poe,38
sits,42
pub,17
ghostly,22
count,153
blackwood,17
recognizing,11
reporter,97
requests,10
interview,86
incredulous,5
skepticism,9
pounds,36
survive,147
following,306
halloween,144
pound,26
wager,14
mario,61
bava,18
overpraised,1
sunday,130
mask,110
satan,45
restrained,51
dreadful,35
surprising,216
usually,452
associated,63
terrible,247
version,1168
badly,98
deteriorated,4
recorded,62
pan,52
scan,17
remake,204
christina,43
ricci,18
jennifer,125
hewitt,6
compares,18
wise,216
cuban,42
sleeper,30
traditional,179
sailing,17
cuba,68
caribbean,13
revolution,119
spent,182
socialist,15
regime,27
property,44
majority,124
coming,561
relationships,243
relate,165
fine,857
directing,272
grand,196
schemes,21
twists,278
mistakes,87
triumphs,19
several,784
annually,2
henri,15
verneuil,5
parallax,2
condor,1
jfk,12
worse,220
representatives,6
place,1263
president,144
government,222
commission,10
decides,283
lone,35
gunman,13
prosecutor,14
volney,1
yves,8
montand,11
investigated,4
theories,25
embraces,13
structure,101
ies,12
lose,211
actuality,16
frightful,2
precise,43
oracles,1
schizophreniac,6
relentlessly,26
extreme,176
harry,337
russo,35
aggravated,5
drug,189
addict,33
scumbag,8
destroy,85
insanity,43
driven,163
demonic,16
voices,122
ventriloquist,4
dummy,9
rubberneck,1
killing,257
spree,26
ron,77
atkins,8
st,173
installment,65
vilest,1
similar,491
nd,83
entitled,27
necromaniac,2
disturbing,258
horrific,73
